대여 대여소명,대여점위도,대여점경도,주말,평일
뚝섬유원지역 1번출구 앞,37.53186,127.067192,5777,6840
여의나루역 1번출구 앞,37.526989,126.932098,5286,6241
"고속터미널역 8-1번, 8-2번 출구 사이",37.506199,127.003944,3932,4556
봉림교 교통섬,37.48423,126.926392,3699,5986
롯데월드타워(잠실역2번출구 쪽),37.513126,127.10096,3231,5383
마포구민체육센터 앞,37.55661,126.898018,3229,3893
건대입구역 사거리(롯데백화점),37.539139,127.070618,3169,4573
홍대입구역 2번출구 앞,37.557499,126.923805,2922,5617
잠실새내역 5번 출구 뒤,37.511982,127.085052,2632,3660
당산육갑문,37.535339,126.903679,2327,3005
신도림역 1번 출구 앞,37.50972,126.890099,2304,3959
IFC몰,37.526066,126.925537,2240,3228
합정역 7번출구 앞,37.548645,126.912827,2194,2859
동방1교,37.471828,126.933922,2170,3925
서울숲 관리사무소,37.542816,127.042084,2141,1612
안암로터리 버스정류장 앞,37.582592,127.028976,2058,4127
올림픽공원역 3번출구,37.516258,127.130592,2011,2642
CJ 드림시티,37.599491,126.916862,2002,3325
당산역 10번출구 앞,37.533688,126.902107,1978,3357
노들역 1번출구,37.512959,126.952072,1905,2979
신대방역 2번 출구,37.487129,126.913017,1897,3613
옥수역 3번출구,37.541363,127.017662,1875,2833
몽촌토성역 1번출구 옆,37.517288,127.114197,1874,2362
청계천 생태교실 앞,37.56797,127.04689,1871,2869
가양역 8번출구,37.561035,126.854813,1860,3561
양천향교역 7번출구앞,37.56768,126.840897,1765,4342
잠실역 8번출구,37.513962,127.100304,1746,2817
"발산역 1번, 9번 인근 대여소",37.55891,126.838097,1733,3639
마곡나루역 5번출구 뒤편,37.565201,126.827316,1700,4648
잠실나루역 (2번 출구 쪽),37.520451,127.104202,1700,3105
현대고등학교 건너편,37.524071,127.02179,1672,2099
커먼그라운드,37.54504,127.089958,1671,2884
천호역4번출구(현대백화점),37.538658,127.124214,1655,2720
오목교역 7번출구 앞,37.524063,126.87558,1652,3014
자양사거리 광진아크로텔 앞,37.53701,127.082245,1637,3243
월드컵경기장역 3번출구 옆,37.570721,126.898979,1621,1822
신도림테크노근린공원,37.508194,126.891304,1619,2646
월드컵공원,37.563965,126.898209,1606,926
한성백제역 2번 출구,37.516659,127.116257,1597,2211
초원아파트 앞,37.531055,126.92421,1543,1395
한신16차아파트 119동 앞,37.516598,127.00959,1534,1925
건대입구역 5번출구 뒤,37.540138,127.069283,1522,2476
센트럴 푸르지오 시티 앞,37.518211,126.902229,1515,2177
잠실나들목,37.516781,127.090492,1508,1838
홈플러스 앞,37.56842,126.899429,1496,1989
홍대입구역 8번출구 앞,37.55706,126.924423,1494,2529
뚝섬역 1번 출구 옆,37.548561,127.045006,1486,2265
방이삼거리,37.512104,127.10778,1482,2531
영등포역지하쇼핑센타 5번출구,37.516651,126.90799,1479,2767
당곡사거리,37.48975,126.927467,1478,2991
